time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
23.911,575.5815,2.9047,319.6928,0.2510,3.8000,-0.4500,2.7395,181.5175,359.3518
24.018,575.4762,2.8865,319.9700,0.2510,3.8000,-0.4500,1.9315,181.5296,358.9598
24.127,575.3499,2.8521,320.3072,0.2510,3.8000,-0.4500,0.8008,181.5540,358.5994
24.235,575.2449,2.8133,320.5916,0.2510,3.8000,-0.4500,359.7550,181.5815,358.3967
24.335,575.1404,2.7654,320.8788,0.2510,3.8000,-0.4500,358.6446,181.6139,358.2832
24.444,575.0161,2.6969,321.2264,0.2510,3.8000,-0.4500,357.2667,181.6557,358.2584
24.554,574.9135,2.6312,321.5180,0.2510,3.8000,-0.4500,356.1134,181.6903,358.3200
24.661,574.7914,2.5430,321.8695,0.2510,3.8000,-0.4500,354.7631,181.7284,358.4731
24.761,574.6905,2.4624,322.1632,0.2510,3.8000,-0.4500,353.6944,181.7555,358.6469
24.867,574.5900,2.3760,322.4572,0.2510,3.8000,-0.4500,352.7010,181.7775,358.8408
24.978,574.4900,2.2843,322.7512,0.2510,3.8000,-0.4500,351.8026,181.7943,359.0335
25.083,574.3701,2.1686,323.1034,0.2510,3.8000,-0.4500,350.8723,181.8085,359.2383
25.184,574.2701,2.0687,323.3963,0.2510,3.8000,-0.4500,350.2346,181.8163,359.3743
25.293,574.1699,1.9671,323.6888,0.2510,3.8000,-0.4500,349.7299,181.8215,359.4767
25.396,574.0693,1.8665,323.9790,0.2510,3.8000,-0.4500,349.6451,181.8222,359.4937
25.506,573.9488,1.7464,324.3278,0.2510,3.8000,-0.4500,349.6451,181.8223,359.4937
25.615,573.8486,1.6476,324.6191,0.2510,3.8000,-0.4500,349.6451,181.8223,359.4937
25.729,573.7292,1.5325,324.9698,0.2510,3.8000,-0.4500,349.5858,181.8228,359.5486
25.838,573.6312,1.4426,325.2635,0.2510,3.8000,-0.4500,349.4611,181.8236,359.7682
25.946,573.5162,1.3463,325.6168,0.2510,3.8000,-0.4500,349.3912,181.8237,0.3048
26.057,573.4216,1.2753,325.9111,0.2510,3.8000,-0.4500,349.5128,181.8250,0.8092
26.159,573.3285,1.2148,326.2055,0.2510,3.8000,-0.4500,349.7845,181.8304,1.3902
26.267,573.2198,1.1587,326.5590,0.2510,3.8000,-0.4500,350.2960,181.8469,2.2193
26.374,573.1329,1.1277,326.8535,0.2510,3.8000,-0.4500,350.8694,181.8736,3.0307
26.478,573.0498,1.1121,327.1475,0.2510,3.8000,-0.4500,351.5666,181.9167,3.9484
26.587,572.9562,1.1144,327.4987,0.2510,3.8000,-0.4500,352.5430,181.9954,5.1703
