time_sec,angle_x,angle_y,angle_z
47.262,93.5529,-9.3711,-103.3844
47.380,93.5505,-9.3915,-103.3811
47.507,93.5735,-9.4320,-103.3877
47.626,93.5766,-9.4489,-103.3833
47.744,93.5824,-9.4411,-103.3832
47.866,93.5820,-9.4310,-103.3962
47.976,93.5936,-9.4111,-103.3967
48.086,93.5991,-9.4004,-103.4026
48.214,93.6048,-9.3926,-103.4024
48.332,93.6049,-9.3997,-103.3955
48.462,93.5962,-9.3864,-103.4008
48.581,93.5962,-9.3864,-103.4008
48.707,93.5904,-9.3870,-103.4079
48.826,93.6047,-9.3854,-103.4093
48.944,93.5993,-9.3961,-103.4034
49.066,93.5995,-9.3990,-103.3973
49.184,93.6079,-9.4023,-103.4050
49.311,93.6079,-9.4023,-103.4050
49.430,93.6079,-9.4023,-103.4050
49.557,93.6077,-9.4066,-103.4042
49.675,93.6165,-9.4085,-103.4065
49.794,93.6165,-9.4085,-103.4065
49.915,93.6165,-9.4085,-103.4065
50.033,93.6223,-9.4079,-103.3995
50.169,93.6308,-9.4069,-103.4079
50.288,93.6308,-9.4069,-103.4079
50.410,93.6308,-9.4069,-103.4079
50.529,93.6365,-9.3991,-103.4078
50.656,93.6222,-9.4007,-103.4064
50.774,93.5989,-9.4047,-103.4018
50.893,93.5848,-9.4020,-103.4012
51.014,93.5705,-9.4108,-103.3929
51.132,93.5419,-9.4140,-103.3901
51.268,93.4993,-9.4289,-103.3729
51.386,93.4873,-9.4388,-103.3854
51.508,93.4730,-9.4404,-103.3840
51.627,93.4387,-9.4586,-103.3745
51.754,93.4191,-9.4781,-103.3602
51.872,93.4277,-9.4843,-103.3618
51.991,93.4162,-9.4999,-103.3622
52.112,93.3962,-9.5093,-103.3609
52.231,93.3765,-9.5216,-103.3536
52.358,93.3649,-9.5416,-103.3531
52.477,93.3564,-9.5425,-103.3446
52.603,93.3507,-9.5503,-103.3448
52.722,93.3593,-9.5637,-103.3394
52.840,93.3538,-9.5672,-103.3404
52.962,93.3536,-9.5715,-103.3396
53.080,93.3393,-9.5731,-103.3382
53.207,93.2967,-9.5808,-103.3279
53.326,93.2911,-9.5958,-103.3212
53.453,93.2938,-9.5854,-103.3115
53.571,93.2792,-9.5841,-103.3163
53.690,93.2678,-9.5998,-103.3166
53.811,93.2452,-9.5980,-103.3075
53.930,93.2393,-9.6101,-103.3069
54.057,93.2424,-9.6199,-103.3094
54.175,93.2281,-9.6215,-103.3081
54.302,93.2367,-9.6277,-103.3096
54.420,93.2224,-9.6293,-103.3082
54.539,93.2169,-9.6328,-103.3092
54.661,93.2167,-9.6371,-103.3084
54.779,93.2167,-9.6371,-103.3084
54.906,93.2167,-9.6371,-103.3084
55.025,93.2253,-9.6433,-103.3100
55.152,93.2253,-9.6433,-103.3100
55.270,93.2253,-9.6433,-103.3100
55.389,93.2198,-9.6469,-103.3109
55.510,93.2198,-9.6469,-103.3109
55.629,93.2141,-9.6547,-103.3111
55.756,93.2143,-9.6792,-103.3225
55.874,93.2001,-9.7167,-103.3248
56.002,93.1778,-9.7537,-103.3132
56.120,93.1665,-9.7694,-103.3136
56.230,93.1663,-9.7737,-103.3127
56.340,93.1665,-9.7694,-103.3136
56.468,93.1408,-9.7866,-103.3125
56.587,93.1439,-9.7964,-103.3151
56.711,93.1466,-9.8076,-103.3229
56.829,93.1382,-9.8042,-103.3152
56.956,93.1381,-9.8085,-103.3144
57.075,93.1325,-9.8120,-103.3154
57.201,93.1238,-9.8101,-103.3130
57.320,93.1239,-9.8058,-103.3138
57.438,93.1239,-9.8058,-103.3138
57.560,93.1295,-9.8023,-103.3128
57.678,93.1295,-9.8023,-103.3128
57.813,93.1237,-9.8030,-103.3199
57.932,93.1153,-9.7996,-103.3123
58.054,93.1153,-9.7996,-103.3123
58.173,93.1152,-9.8039,-103.3114
58.299,93.1149,-9.8010,-103.3176
58.418,93.1151,-9.7967,-103.3184
58.536,93.1209,-9.7961,-103.3113
58.658,93.1206,-9.7932,-103.3174
58.776,93.1067,-9.7934,-103.3107
58.903,93.1066,-9.7977,-103.3099
59.022,93.1066,-9.7977,-103.3099
59.149,93.1063,-9.7948,-103.3160
59.267,93.1063,-9.7948,-103.3160
59.386,93.1063,-9.7948,-103.3160
59.507,93.0980,-9.7915,-103.3083
59.626,93.0980,-9.7915,-103.3083
59.753,93.0980,-9.7915,-103.3083
59.872,93.0980,-9.7915,-103.3083
59.998,93.0980,-9.7915,-103.3083
60.117,93.0980,-9.7915,-103.3083
60.235,93.0923,-9.7993,-103.3085
60.357,93.1009,-9.8055,-103.3101
60.475,93.0952,-9.8133,-103.3102
60.602,93.0952,-9.8133,-103.3102
60.721,93.0952,-9.8133,-103.3102
60.848,93.0898,-9.8240,-103.3043
60.966,93.0979,-9.8245,-103.3181
61.085,93.0981,-9.8274,-103.3120
61.206,93.1067,-9.8336,-103.3135
61.325,93.1013,-9.8443,-103.3076
61.452,93.1014,-9.8514,-103.3007
61.570,93.0988,-9.8690,-103.3034
61.697,93.1074,-9.8824,-103.2980
61.815,93.1105,-9.8921,-103.3006
61.934,93.1104,-9.8964,-103.2998
62.055,93.1448,-9.9213,-103.3061
62.174,93.1739,-9.9455,-103.3143
62.301,93.2115,-9.9801,-103.3232
62.420,93.2373,-9.9988,-103.3280
62.547,93.2579,-10.0238,-103.3277
62.665,93.2869,-10.0451,-103.3421
62.783,93.3041,-10.0575,-103.3453
62.905,93.3445,-10.0703,-103.3525
63.024,93.3964,-10.0962,-103.3700
63.151,93.4459,-10.1396,-103.3904
63.269,93.4548,-10.1487,-103.3859
63.396,93.5186,-10.2020,-103.4002
63.514,93.5305,-10.2251,-103.3976
63.633,93.5510,-10.2473,-103.4037
63.870,93.5720,-10.3011,-103.4144
63.997,93.6219,-10.3589,-103.4214
64.115,93.6193,-10.3808,-103.4235
64.233,93.6429,-10.4171,-103.4315
64.355,93.6317,-10.4284,-103.4327
64.473,93.6467,-10.4585,-103.4390
64.609,93.6323,-10.4601,-103.4375
64.728,93.5772,-10.4533,-103.4277
64.850,93.3905,-10.4570,-103.3896
64.969,93.0662,-10.4746,-103.3414
65.096,92.7803,-10.5008,-103.2862
65.214,92.7265,-10.5170,-103.2830
65.333,92.7349,-10.5204,-103.2908
