time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
12.792,586.8021,3.1948,283.1367,0.2510,3.8000,-0.4500,20.5189,173.1997,9.2740
12.899,586.7872,3.3738,283.3262,0.2510,3.8000,-0.4500,20.5189,173.1997,9.2740
13.005,586.7690,3.5918,283.5493,0.2510,3.8001,-0.4500,20.6790,173.2275,9.1876
13.110,586.7510,3.7746,283.7271,0.2510,3.8000,-0.4500,21.2979,173.3326,8.8343
13.215,586.7300,3.9585,283.8967,0.2510,3.8000,-0.4500,22.1298,173.4678,8.3301
13.319,586.7052,4.1429,284.0580,0.2510,3.8001,-0.4500,23.0709,173.6115,7.7090
13.422,586.6691,4.3635,284.2411,0.2510,3.8001,-0.4500,24.2136,173.7710,6.8397
13.526,586.6331,4.5460,284.3865,0.2510,3.7999,-0.4500,25.0853,173.8794,6.0318
13.635,586.5908,4.7265,284.5269,0.2510,3.8000,-0.4500,25.8201,173.9595,5.1661
13.743,586.5318,4.9398,284.6914,0.2510,3.8000,-0.4500,26.4629,174.0179,4.0800
13.849,586.4754,5.1145,284.8276,0.2510,3.8000,-0.4500,26.7667,174.0397,3.1664
13.954,586.4125,5.2854,284.9657,0.2510,3.8000,-0.4500,26.8330,174.0436,2.2736
14.059,586.3434,5.4510,285.1086,0.2510,3.8001,-0.4500,26.6381,174.0370,1.4181
14.164,586.2521,5.6399,285.2908,0.2510,3.8000,-0.4500,26.0311,174.0266,0.4497
14.287,586.1526,5.8145,285.4901,0.2510,3.8000,-0.4500,24.9861,174.0274,359.5444
14.392,586.0635,5.9454,285.6730,0.2510,3.8000,-0.4500,23.7562,174.0470,358.8346
14.500,585.9692,6.0596,285.8742,0.2510,3.8000,-0.4500,22.1790,174.0923,358.1608
14.612,585.8502,6.1691,286.1432,0.2510,3.8000,-0.4500,19.8030,174.1918,357.3947
14.719,585.7467,6.2328,286.3919,0.2510,3.8000,-0.4500,17.4087,174.3206,356.7891
14.826,585.6194,6.2699,286.7199,0.2510,3.8000,-0.4500,14.0473,174.5382,356.1046
14.931,585.5120,6.2640,287.0162,0.2510,3.8000,-0.4500,10.8733,174.7749,355.5806
15.036,585.4050,6.2214,287.3299,0.2510,3.8000,-0.4500,7.4203,175.0597,355.1340
15.141,585.2796,6.1229,287.7225,0.2510,3.8000,-0.4500,3.0543,175.4480,354.7910
15.246,585.1791,6.0068,288.0563,0.2510,3.8000,-0.4500,359.4019,175.7836,354.7544
15.352,585.0827,5.8681,288.3910,0.2510,3.8000,-0.4500,355.9128,176.0979,355.0139
15.458,584.9901,5.7164,288.7234,0.2510,3.8000,-0.4500,352.7415,176.3612,355.6106
15.564,584.8832,5.5302,289.1178,0.2510,3.8000,-0.4500,349.5222,176.5811,356.7867
15.666,584.7969,5.3804,289.4436,0.2510,3.8000,-0.4500,347.4111,176.6788,358.1273
15.776,584.7132,5.2415,289.7683,0.2510,3.8000,-0.4500,345.8427,176.7105,359.7472
15.883,584.6163,5.0937,290.1585,0.2510,3.8000,-0.4500,344.6469,176.6947,1.9646
15.987,584.5392,4.9878,290.4854,0.2510,3.8000,-0.4500,344.1599,176.6699,3.9430
16.091,584.4658,4.8971,290.8142,0.2510,3.8000,-0.4500,344.0554,176.6615,5.9427
16.197,584.3964,4.8199,291.1446,0.2510,3.8001,-0.4500,344.2440,176.6860,7.8718
16.302,584.3181,4.7416,291.5420,0.2510,3.7999,-0.4500,344.7261,176.7654,9.9785
16.407,584.2560,4.6847,291.8730,0.2510,3.8000,-0.4500,345.2400,176.8666,11.4885
16.527,584.1842,4.6230,292.2693,0.2510,3.8000,-0.4500,345.8915,177.0128,12.9643
16.634,584.1259,4.5769,292.5984,0.2510,3.8000,-0.4500,346.4344,177.1467,13.9268
16.742,584.0591,4.5316,292.9914,0.2510,3.8001,-0.4500,347.1910,177.3463,14.7967
16.847,584.0063,4.5056,293.3163,0.2510,3.7999,-0.4500,348.0357,177.5792,15.2981
16.950,583.9561,4.4911,293.6375,0.2510,3.8000,-0.4500,349.0966,177.8786,15.5810
17.056,583.9069,4.4860,293.9542,0.2510,3.8000,-0.4500,350.3026,178.2213,15.6078
17.160,583.8452,4.4867,294.3276,0.2510,3.8000,-0.4500,351.7907,178.6380,15.2405
17.264,583.7888,4.4871,294.6334,0.2510,3.8001,-0.4500,352.9399,178.9473,14.5576
17.369,583.7247,4.4816,294.9349,0.2510,3.8000,-0.4500,353.9123,179.1928,13.5085
17.474,583.6513,4.4648,295.2335,0.2510,3.7999,-0.4500,354.6434,179.3607,12.0903
17.578,583.5674,4.4319,295.5306,0.2510,3.8000,-0.4500,355.0919,179.4509,10.3228
