time_sec,angle_x,angle_y,angle_z
63.196,94.0625,-16.5679,-100.1053
63.314,94.0627,-16.5634,-100.1058
63.433,94.1100,-16.5595,-100.1285
63.554,94.1244,-16.5554,-100.1367
63.673,94.1338,-16.5649,-100.1334
63.800,94.1762,-16.5863,-100.1378
63.918,94.1674,-16.5825,-100.1294
64.045,94.1983,-16.6048,-100.1470
64.163,94.2280,-16.6053,-100.1460
64.282,94.2368,-16.6090,-100.1544
64.404,94.2368,-16.6090,-100.1544
64.522,94.2496,-16.6255,-100.1604
64.649,94.2148,-16.6504,-100.1431
64.768,94.0552,-16.6606,-100.1005
64.895,93.6922,-16.6817,-100.0146
65.013,93.4655,-16.6944,-99.9602
65.131,93.2537,-16.7059,-99.9084
65.253,93.0950,-16.7130,-99.8728
65.372,93.0405,-16.7305,-99.8610
65.499,93.0439,-16.7449,-99.8637
65.617,93.0384,-16.7527,-99.8639
65.744,93.0328,-16.7605,-99.8641
65.862,93.0329,-16.7560,-99.8647
65.981,93.0329,-16.7560,-99.8647
66.102,93.0329,-16.7560,-99.8647
66.221,93.0328,-16.7605,-99.8641
66.348,93.0239,-16.7612,-99.8552
66.467,93.0239,-16.7612,-99.8552
66.593,93.0329,-16.7678,-99.8577
66.712,93.0275,-16.7711,-99.8584
66.830,93.0420,-16.7699,-99.8607
66.952,93.0926,-16.7879,-99.8794
67.070,93.2023,-16.8022,-99.8962
67.197,93.3133,-16.8385,-99.9316
67.316,93.4173,-16.8622,-99.9542
67.443,93.5964,-16.8958,-100.0026
67.561,93.7336,-16.9197,-100.0400
67.680,93.8510,-16.9554,-100.0697
67.801,93.9651,-16.9767,-100.0968
67.920,94.1377,-16.9829,-100.1458
68.047,94.2958,-16.9903,-100.1927
68.166,94.4527,-17.0181,-100.2377
68.292,94.6193,-17.0673,-100.2732
68.411,94.7169,-17.0518,-100.3035
68.529,94.8002,-17.0404,-100.3256
68.651,94.8687,-17.0302,-100.3453
68.769,94.9913,-17.0755,-100.3802
68.897,95.1068,-17.1582,-100.4127
69.015,95.1684,-17.1808,-100.4304
69.142,95.2216,-17.1192,-100.4426
69.260,95.2599,-17.0514,-100.4585
69.379,95.2879,-17.0123,-100.4573
69.500,95.3410,-16.9553,-100.4690
69.619,95.4125,-16.8498,-100.4822
69.746,95.4519,-16.7952,-100.4805
69.865,95.4832,-16.7677,-100.4880
69.991,95.5016,-16.7312,-100.4829
70.110,95.5280,-16.7098,-100.4855
70.228,95.5607,-16.6619,-100.4948
70.350,95.5775,-16.6310,-100.5003
70.468,95.5828,-16.6278,-100.4995
70.595,95.5797,-16.6163,-100.4908
70.714,95.5885,-16.6200,-100.4993
70.841,95.5888,-16.6154,-100.4999
70.960,95.5529,-17.2054,-100.4244
71.070,95.5529,-17.2054,-100.4244
71.180,95.5943,-16.6196,-100.4928
71.308,95.6035,-16.6262,-100.4955
71.426,95.5921,-16.6344,-100.5023
71.548,95.5925,-16.6373,-100.4966
71.669,95.5922,-16.6418,-100.4960
71.796,95.5835,-16.6381,-100.4876
71.915,95.5774,-16.6430,-100.4935
72.041,95.4257,-16.6631,-100.4464
72.160,95.3118,-16.6787,-100.4242
72.278,95.1603,-16.6913,-100.3836
72.400,94.9875,-16.7191,-100.3454
72.518,94.8017,-16.7521,-100.2884
72.645,94.6017,-16.7645,-100.2419
72.764,94.4836,-16.7861,-100.2154
72.891,94.2593,-16.8118,-100.1571
73.009,94.1468,-16.8227,-100.1364
73.128,94.0106,-16.8355,-100.1044
73.249,93.8311,-16.8575,-100.0538
73.368,93.6315,-16.8930,-100.0007
73.494,93.4812,-16.9068,-99.9668
73.613,93.3440,-16.9326,-99.9395
73.740,93.1560,-16.9450,-99.8929
